pos	V
11.0	0.011
12.0	0.026
13.0	0.043
14.0	0.051
15.0	0.040
16.0	0.022
17.0	0.015
18.0	0.034
19.0	0.077
20.0	0.114
21.0	0.115
22.0	0.070
23.0	0.028
23.5	0.045
24.0	0.090
24.5	0.228
25.0	0.373
25.5	0.69
26.0	1.03
26.5	1.43
27.0	1.83
27.5	2.27
28.0	2.64
28.5	2.94
29.0	3.14
29.5	3.28
30.0	3.29
30.5	3.24
31.0	3.05
31.5	2.75
32.0	2.35
32.5	1.91
33.0	1.46
33.5	1.04
34.0	0.71
34.5	0.445
35.0	0.252
35.5	0.124
36.0	0.046
36.5	0.013
37.0	0.014
37.5	0.033
38.0	0.058
38.5	0.080
39.0	0.092
40.0	0.084
41.0	0.047
42.0	0.014
43.0	0.001
44.0	0.006
45.0	0.018
46.0	0.023
47.0	0.018
48.0	0.009
49.0	0.002
50.0	0.001
